label,text_length,word_count,sentiment,avg_word_length,unique_word_ratio,label_encoded
real,1202,194,0.029423868312757208,5.201030927835052,0.8556701030927835,0
fake,1411,221,0.13268398268398265,5.389140271493213,0.8959276018099548,1
fake,1270,201,0.08687888198757764,5.323383084577115,0.9054726368159204,1
fake,1426,228,0.09040123456790122,5.258771929824562,0.881578947368421,1
fake,1260,197,-0.06873706004140788,5.401015228426396,0.8883248730964467,1
real,1553,247,0.09564393939393938,5.291497975708502,0.854251012145749,0
fake,1509,235,0.07429802955665024,5.425531914893617,0.902127659574468,1
fake,1372,222,-0.004241071428571432,5.184684684684685,0.8468468468468469,1
fake,1628,264,0.061803135888501726,5.170454545454546,0.821969696969697,1
real,1153,186,0.03881802721088435,5.204301075268817,0.8548387096774194,0
real,1273,202,0.041453222703222686,5.306930693069307,0.8762376237623762,0
real,1290,208,0.055538302277432706,5.206730769230769,0.8653846153846154,0
real,1205,200,0.07933333333333334,5.03,0.895,0
fake,1487,236,0.08061482168625025,5.305084745762712,0.864406779661017,1
real,1119,186,0.12957766439909296,5.021505376344086,0.8924731182795699,0
real,1474,236,0.21706349206349204,5.25,0.8305084745762712,0
real,1418,232,0.04453416149068325,5.116379310344827,0.8318965517241379,0
fake,1489,241,0.11182170542635657,5.182572614107884,0.8506224066390041,1
fake,1201,188,0.09521221532091095,5.3936170212765955,0.8936170212765957,1
fake,1699,269,0.02054897716662422,5.319702602230484,0.862453531598513,1
fake,1431,233,0.05505368814192343,5.145922746781116,0.8454935622317596,1
fake,1526,247,0.12274318818436465,5.182186234817814,0.8663967611336032,1
real,1511,248,0.1456586973632428,5.096774193548387,0.842741935483871,0
real,1457,239,0.073989898989899,5.100418410041841,0.895397489539749,0
real,1500,236,0.1217712842712843,5.360169491525424,0.8771186440677966,0
real,1543,245,0.06446821152703508,5.302040816326531,0.8448979591836735,0
real,1507,238,0.17568542568542567,5.336134453781512,0.8403361344537815,0
real,1244,202,0.11145833333333334,5.163366336633663,0.905940594059406,0
fake,1295,209,-0.0020833333333333294,5.2009569377990434,0.9043062200956937,1
real,1461,236,0.015293040293040298,5.194915254237288,0.8686440677966102,0
real,1453,238,0.044193869193869195,5.109243697478991,0.907563025210084,0
fake,1463,236,0.049076246334310854,5.203389830508475,0.8686440677966102,1
real,1253,204,0.13391248391248392,5.147058823529412,0.8823529411764706,0
real,1673,267,0.11640926640926645,5.269662921348314,0.8576779026217228,0
real,1574,256,0.03944032158317873,5.15234375,0.8515625,0
real,1395,220,0.0824712643678161,5.345454545454546,0.8818181818181818,0
fake,1564,258,0.061823593073593086,5.065891472868217,0.8294573643410853,1
fake,1293,210,0.059990530303030316,5.161904761904762,0.8809523809523809,1
fake,1668,266,0.08259423503325942,5.274436090225564,0.8571428571428571,1
real,1642,263,0.20734126984126985,5.247148288973384,0.8821292775665399,0
fake,1167,188,0.04609487734487734,5.212765957446808,0.8882978723404256,1
fake,1412,224,0.060394660894660904,5.308035714285714,0.8660714285714286,1
fake,1476,236,0.00237637362637362,5.258474576271187,0.8728813559322034,1
fake,1390,222,0.08818086325439267,5.2657657657657655,0.8828828828828829,1
fake,1440,237,0.08161616161616163,5.080168776371308,0.8270042194092827,1
fake,1328,218,0.07880718954248367,5.0963302752293576,0.8761467889908257,1
real,1376,224,0.05560606060606061,5.147321428571429,0.9017857142857143,0
fake,1284,205,-0.0025722789115646127,5.2682926829268295,0.9073170731707317,1
fake,1536,243,0.02733415233415233,5.325102880658436,0.8600823045267489,1
real,1396,228,0.1573850574712644,5.12719298245614,0.8771929824561403,0
fake,1531,245,0.07038288288288289,5.253061224489796,0.8816326530612245,1
fake,1290,212,0.03735930735930736,5.089622641509434,0.8773584905660378,1
real,1547,253,0.13481411335578,5.118577075098814,0.8656126482213439,0
real,1386,220,0.0391025641025641,5.304545454545455,0.8272727272727273,0
fake,1179,193,0.00860013828763829,5.1139896373057,0.8911917098445595,1
fake,1231,194,0.006333333333333342,5.350515463917525,0.8556701030927835,1
fake,1621,264,0.11082415059687788,5.143939393939394,0.8712121212121212,1
real,1323,208,0.07142857142857142,5.365384615384615,0.875,0
fake,1158,185,0.0680026869682042,5.264864864864865,0.8918918918918919,1
fake,1599,259,0.10412826420890936,5.177606177606178,0.8648648648648649,1
fake,1516,246,0.11863439590712316,5.166666666666667,0.8658536585365854,1
real,1548,249,0.11673229253016489,5.220883534136546,0.8554216867469879,0
real,1266,207,0.15806502525252528,5.120772946859903,0.8888888888888888,0
fake,1349,214,0.10318452380952384,5.308411214953271,0.8644859813084113,1
fake,1658,263,0.08317901234567901,5.307984790874524,0.8326996197718631,1
fake,1583,253,-0.03582611832611835,5.260869565217392,0.857707509881423,1
fake,1548,247,0.10144230769230769,5.271255060728745,0.8421052631578947,1
fake,1571,251,0.021577380952380962,5.2629482071713145,0.848605577689243,1
fake,1275,204,0.07277172232529375,5.254901960784314,0.8235294117647058,1
fake,1654,270,0.14845559845559847,5.12962962962963,0.8666666666666667,1
fake,1488,239,0.20916666666666664,5.2301255230125525,0.8577405857740585,1
fake,1242,205,0.10952380952380954,5.0634146341463415,0.8926829268292683,1
real,1229,199,0.13299851190476192,5.180904522613066,0.8592964824120602,0
real,1528,240,-0.01253787878787879,5.370833333333334,0.8583333333333333,0
fake,1286,208,0.0449945265462507,5.1875,0.9038461538461539,1
real,1206,188,-0.0006834215167548538,5.420212765957447,0.9042553191489362,0
real,1138,185,0.11515151515151514,5.1567567567567565,0.8918918918918919,0
real,1345,214,0.002722162097162091,5.289719626168225,0.8364485981308412,0
